Brand,Phone Model,Current Prices,Old Price,Discounts,description,Ratings,Stars
Apple,Apple IPhone 6s,"₦ 138,588",,,"Apple IPhone 6s - 4.7"" 4G Smartphone - Refurbished Smartphone - IOS 9 - 2GB/64GB - 12MP - Finger Sensor EU - Gray",,
Apple,Apple IPhone 7-4.7,"₦ 152,900","₦ 400,000",62%,Apple IPhone 7-4.7 Inch 4G LET Smartphone 2GB+128GB 12MP Finger Sensor HD-Rose Gold,,
Apple,Apple IPhone 5SE-16G+1G,"₦ 56,000","₦ 199,000",72%,Apple IPhone 5SE-16G+1G - 4.0 Inch Screen-12MP Pixel Refurbished 4G LTE ( Gift ) Smart Phone-Rose Gold,,
Apple,Apple IPhone 5SE-64G+1G,"₦ 78,890","₦ 199,000",60%,Apple IPhone 5SE-64G+1G - 4.0 Inch Screen-12MP Pixel Refurbished 4G LTE ( Gift ) Smart Phone-Silver,,
Apple,Apple IPhone 6s,"₦ 119,700","₦ 189,000",37%,Apple IPhone 6s - 4.7 Inch 4G LET Smartphone 2GB+64GB 12MP Finger Sensor HD- Silver,,
Apple,Apple IPhone 6sP,"₦ 139,000","₦ 293,000",53%,Apple IPhone 6sP - 5.5 Inch 4G LET Smartphone 2GB+16GB 12MP Finger Sensor HD- Gold,,
Apple,Apple IPhone 5C-32G,"₦ 65,920","₦ 99,920",34%,Apple IPhone 5C-32G ROM+1G RAM - 4.0 Inch Screen-8MP Pixel Refurbished 4G LTE ( Gift ) Smart Phone-pink,,
Apple,Apple IPhone 5C-32G,"₦ 65,920","₦ 99,920",34%,Apple IPhone 5C-32G ROM+1G RAM - 4.0 Inch Screen-8MP Pixel Refurbished 4G LTE ( Gift ) Smart Phone-pink,,
Apple,Apple IPhone 7,"₦ 152,900","₦ 400,000",62%,Apple IPhone 7 -4.7 Inch Smartphone  2GB+32GB 12MP Finger Sensor 4G LTE (gift) HD-Matte Black,,
Apple,Apple IPhone 6s,"₦ 109,000","₦ 189,000",42%,Apple IPhone 6s - 4.7 Inch 4G LET Smartphone 2GB+32GB 12MP Finger Sensor HD- Rose Gold,,
