Brand,Laptop Model,Current Prices,Old Price,Discounts,description,Ratings,Stars
DELL,DELL XPS 13,"₦ 970,000",,,"DELL XPS 13 9300 10th Gen Core I7,1TB SSD,16GB,13.4''Wins 10Pro",,
Hp,"Hp Notebook 14""","₦ 161,000","₦ 179,000",10%,"Hp Notebook 14"" Intel Celeron 4GB RAM 64GB EMMC Windows 10 Home",,
Hp,"Hp Envy 15.6""","₦ 389,000","₦ 399,000",3%,"Hp Envy 15.6"" X360 Intel Core I5 8GB SDRAM 256GB SSD Windows 10",,
Hp,Hp Stream Intel,"₦ 159,500",,,"Hp Stream Intel Celeron,4GB RAM,64GBSSD,Wins 10 In S Mode 11.6""",,
Hp,Hp Spectre 14,"₦ 967,500",,,"Hp Spectre 14 Core I7 11th Gen 1TB+32GB Optane 16GB ""13.5""",,
DELL,DELL Alienware M15,"₦ 1,100,000",,,"DELL Alienware M15 R2 9th Gen  I9 16Gb Ram 512 SSD, 8GB NVIDIA",,
Hp,Hp 15 INTEL,"₦ 322,000",,,"Hp 15 INTEL CORE I5-10210U-8GB RAM-1TB HDD,TOUCHSCREEN-WIN 10",,
Apple,Apple MacBook Pro,"₦ 670,000",,,"Apple MacBook Pro 13.3"" 256GB 8GB Touchbar 1.4ghz  (Mid 2020, Space Gray) CORE I5",,
Samsung,Samsung 860 PRO,"₦ 138,950","₦ 277,900",50%,"Samsung 860 PRO SSD Internal Solid State Disk Drive 2.5""",,
Hp,Hp Notebook 15-Intel,"₦ 230,000","₦ 255,000",10%,"Hp Notebook 15-Intel Core I3-2.4GHz,15.6 Inches,HD Camera,Stereo Speaker(1TB HDD,4GB RAM+32GB Flash,Mouse,Fashion Sport Watch,USB Light)Windows 10",,
Lenovo,Lenovo Ideapad ,"₦ 167,500","₦ 190,000",12%,Lenovo Ideapad  500GB HDD/4GB RAM Intel Celeron Dual Core 1.1 Up To 2.4Ghz) Windows 10 +  Free Led Lamp,,
Lenovo,Lenovo Legion Y540,"₦ 690,000",,,Lenovo Legion Y540 Intel Core I7 1TB+256GB/16GB RAM Nvidia GTX 6GB,,
Lenovo,Lenovo IdeaPad S145,"₦ 177,000",,,Lenovo IdeaPad S145 IntelCeleron  1TB HDD 4GB RAM15.6″ HD Freedos,,
Hp,Hp Probook 440,"₦ 250,670","₦ 350,000",28%,Hp Probook 440 G3 Intel® Core™ I5 2.3GHz (4GB 500GB HDD) 14-Inch Windows 7 Laptop - Black,,
Asus,Asus ROG G703GX,"₦ 1,670,000",,,"Asus ROG G703GX Core I9-8950HK,2.9GHz,512GB SSD X3/32gb,NVidia RTX 2080(8GB),,17"",Win10Pro",,
Hp,Hp Pavilion 14,"₦ 280,000",,,"Hp Pavilion 14 X360,Intel Core I3 ,8gb Ram",,
Hp,Hp 15 AMD,"₦ 185,500",,,"Hp 15 AMD Dual Core (4GB DDR4, 500GB HDD) 15.6""-Inch HD Slim Windows 10 +Free 32gb Flash Drive",,
Hp,Hp Stream 14,"₦ 170,500","₦ 200,000",15%,"Hp Stream 14 Intel Celeron,4GB RAM 64GB EMMC,Win 10",,
Hp,Hp PAVILION X360,"₦ 475,000",,,Hp PAVILION X360 14 10th Gen CORE I5 16GB 1TB  TOUCH 2GB NVIDIA,,
Msi,Msi GAMING 8Th,"₦ 780,000",,,"Msi GAMING 8Th Gen Intel Corei7 2TB HDD+256GB SSD,16GB",,
Lenovo,Lenovo Ideapad Intel,"₦ 185,990",,,"Lenovo Ideapad Intel Celeron 4GB RAM 1TB HDD 15.6"" Windows 10 + FREE Mouse",,
Hp,Hp Pavilion Gaming,"₦ 402,000","₦ 420,000",4%,"Hp Pavilion Gaming Laptop- Core I5-9300h, 3gb Nvidia 8gb Ram,256GB SSD, Backlit Keyboard",,
Lenovo,Lenovo Ideapad -,"₦ 165,000","₦ 195,000",15%,Lenovo Ideapad - Intel Celeron -1TB (HDD) 4GB (RAM) - Windows 10,,
DELL,DELL Inspirion 15,"₦ 435,800","₦ 460,000",5%,"DELL Inspirion 15 8th Gen Intel Core I7 1.8 Upto 4.6ghz 16GB Ram, 1TB HDD +2gb Graphics Wins 10 Pro",,
Hp,Hp Pavilion 15,"₦ 350,000",,,Hp Pavilion 15 10th Gen Core I5 12GB 1TB Backlit Keybod W10 Bag,1,5
